data_type,model_a,model_b,acc_a,acc_b,both_correct,a_right_b_wrong,a_wrong_b_right,both_wrong,chi2,p_value,significant,better_model
original,XGBoost,SVM,0.9944,0.9777,175,3,0,1,1.3333,0.248213,No,XGBoost
original,XGBoost,SGD,0.9944,0.9553,171,7,0,1,5.1429,0.023342,Yes,XGBoost
original,XGBoost,CNN,0.9944,0.9832,175,3,1,0,0.25,0.617075,No,XGBoost
original,SVM,SGD,0.9777,0.9553,170,5,1,3,1.5,0.220671,No,SVM
original,SVM,CNN,0.9777,0.9832,173,2,3,1,0.0,1.0,No,CNN
original,SGD,CNN,0.9553,0.9832,168,3,8,0,1.4545,0.2278,No,CNN
gaussian,XGBoost,SVM,0.9821,0.9955,874,4,16,0,6.05,0.013906,Yes,SVM
gaussian,XGBoost,SGD,0.9821,0.9899,869,9,16,0,1.44,0.230139,No,SGD
gaussian,XGBoost,CNN,0.9821,0.9966,875,3,16,0,7.5789,0.005905,Yes,CNN
gaussian,SVM,SGD,0.9955,0.9899,884,6,1,3,2.2857,0.13057,No,SVM
gaussian,SVM,CNN,0.9955,0.9966,888,2,3,1,0.0,1.0,No,CNN
gaussian,SGD,CNN,0.9899,0.9966,882,3,9,0,2.0833,0.148915,No,CNN
jpeg,XGBoost,SVM,0.9821,0.9955,874,4,16,0,6.05,0.013906,Yes,SVM
jpeg,XGBoost,SGD,0.9821,0.9922,871,7,16,0,2.7826,0.095293,No,SGD
jpeg,XGBoost,CNN,0.9821,0.9966,875,3,16,0,7.5789,0.005905,Yes,CNN
jpeg,SVM,SGD,0.9955,0.9922,886,4,1,3,0.8,0.371093,No,SVM
jpeg,SVM,CNN,0.9955,0.9966,888,2,3,1,0.0,1.0,No,CNN
jpeg,SGD,CNN,0.9922,0.9966,884,3,7,0,0.9,0.342782,No,CNN
dpi,XGBoost,SVM,0.8613,0.9664,1489,51,239,9,120.5828,0.0,Yes,SVM
dpi,XGBoost,SGD,0.8613,0.9318,1420,120,246,2,42.6913,0.0,Yes,SGD
dpi,XGBoost,CNN,0.8613,0.3551,430,1110,205,43,621.457,0.0,Yes,XGBoost
dpi,SVM,SGD,0.9664,0.9318,1651,77,15,45,40.4457,0.0,Yes,SVM
dpi,SVM,CNN,0.9664,0.3551,630,1098,5,55,1081.1097,0.0,Yes,SVM
dpi,SGD,CNN,0.9318,0.3551,631,1035,4,118,1021.078,0.0,Yes,SGD
crop,XGBoost,SVM,0.481,0.7315,397,33,257,207,171.4793,0.0,Yes,SVM
crop,XGBoost,SGD,0.481,0.8188,383,47,349,115,228.7904,0.0,Yes,SGD
crop,XGBoost,CNN,0.481,0.9933,429,1,459,5,454.0196,0.0,Yes,CNN
crop,SVM,SGD,0.7315,0.8188,597,57,135,105,30.8802,0.0,Yes,SGD
crop,SVM,CNN,0.7315,0.9933,654,0,234,6,232.0043,0.0,Yes,CNN
crop,SGD,CNN,0.8188,0.9933,732,0,156,6,154.0064,0.0,Yes,CNN
bitdepth,XGBoost,SVM,0.9899,0.9966,883,2,8,1,2.5,0.113846,No,SVM
bitdepth,XGBoost,SGD,0.9899,0.9911,878,7,8,1,0.0,1.0,No,SGD
bitdepth,XGBoost,CNN,0.9899,0.2629,234,651,1,8,646.0138,0.0,Yes,XGBoost
bitdepth,SVM,SGD,0.9966,0.9911,886,5,0,3,3.2,0.073638,No,SVM
bitdepth,SVM,CNN,0.9966,0.2629,235,656,0,3,654.0015,0.0,Yes,SVM
bitdepth,SGD,CNN,0.9911,0.2629,235,651,0,8,649.0015,0.0,Yes,SGD
